# from H. Marshall email 27 April 2007
#
#Optical depths as of 2002.69
#     Energy      Carbon       Oxygen       Fluorine     Fluffium
#                   0.02         0.20        0.10         0.20
      2.27586   0.00757411  0.000467372  0.000277815   0.00614521
      2.28565   0.00743343  0.000410574  0.000220490   0.00602390
      2.29544   0.00729273  0.000354242  0.000163768   0.00590260
      2.30523   0.00715204  0.000298242  0.000107523   0.00578129
      2.31501   0.00701135  0.000242906  5.40518e-05   0.00565999
      2.32480   0.00687204  0.000188031  1.28150e-05   0.00553868
      2.33459   0.00673851  0.000133617      0.00000   0.00541784
      2.34438   0.00660497  7.97297e-05      0.00000   0.00530264
      2.35417   0.00647144  2.62723e-05      0.00000   0.00518744
      2.36396   0.00633790  4.75621e-06      0.00000   0.00507225
      2.37375   0.00620437      0.00000      0.00000   0.00495705
      2.38354   0.00607403      0.00000      0.00000   0.00484185
      2.39333   0.00594684      0.00000      0.00000   0.00472845
      2.40312   0.00581966      0.00000      0.00000   0.00461868
      2.41291   0.00569248      0.00000      0.00000   0.00450890
      2.42270   0.00556530      0.00000      0.00000   0.00439912
      2.43249   0.00543812      0.00000      0.00000   0.00428934
      2.44228   0.00531424      0.00000      0.00000   0.00417956
      2.45207   0.00519327      0.00000      0.00000   0.00407123
      2.46186   0.00507229      0.00000      0.00000   0.00396621
      2.47165   0.00495131      0.00000      0.00000   0.00386120
      2.48144   0.00483034      0.00000      0.00000   0.00375619
      2.49123   0.00470936      0.00000      0.00000   0.00365117
      2.50102   0.00458982      0.00000      0.00000   0.00354724
      2.51081   0.00447429      0.00000      0.00000   0.00344638
      2.52060   0.00435876      0.00000      0.00000   0.00334551
      2.53039   0.00424324      0.00000      0.00000   0.00324464
      2.54018   0.00412772      0.00000      0.00000   0.00314378
      2.54997   0.00401226      0.00000      0.00000   0.00304297
      2.55976   0.00390145      0.00000      0.00000   0.00294617
      2.56955   0.00379064      0.00000      0.00000   0.00284936
      2.57934   0.00367982      0.00000      0.00000   0.00275256
      2.58913   0.00356901      0.00000      0.00000   0.00265576
      2.59892   0.00345820      0.00000      0.00000   0.00255895
      2.60871   0.00334958      0.00000      0.00000   0.00246405
      2.61850   0.00324279      0.00000      0.00000   0.00237073
      2.62829   0.00313600      0.00000      0.00000   0.00227742
      2.63808   0.00302920      0.00000      0.00000   0.00218410
      2.64787   0.00292342      0.00000      0.00000   0.00209164
      2.65766   0.00282010      0.00000      0.00000   0.00200126
      2.66745   0.00271678      0.00000      0.00000   0.00191088
      2.67724   0.00261347      0.00000      0.00000   0.00182050
      2.68703   0.00251015      0.00000      0.00000   0.00173012
      2.69682   0.00240982      0.00000      0.00000   0.00167088
      2.70661   0.00230984      0.00000      0.00000   0.00162865
      2.71640   0.00220985      0.00000      0.00000   0.00160649
      2.72619   0.00210986      0.00000      0.00000   0.00158434
      2.73598   0.00201106      0.00000      0.00000   0.00156218
      2.74577   0.00191437      0.00000      0.00000   0.00154002
      2.75556   0.00181768      0.00000      0.00000   0.00151786
      2.76535   0.00172099      0.00000      0.00000   0.00149570
      2.77514   0.00162430      0.00000      0.00000   0.00147355
      2.78492   0.00152942      0.00000      0.00000   0.00145220
      2.79471   0.00143545      0.00000      0.00000   0.00143125
      2.80450   0.00134148      0.00000      0.00000   0.00141029
      2.81429   0.00124845      0.00000      0.00000   0.00138934
      2.82408   0.00115656      0.00000      0.00000   0.00136839
      2.83387   0.00106467      0.00000      0.00000   0.00134744
      2.84366  0.000973047      0.00000      0.00000   0.00132649
      2.85345  0.000882811      0.00000      0.00000   0.00130554
      2.86324  0.000793089      0.00000      0.00000   0.00128511
      2.87303  0.000703902      0.00000      0.00000   0.00126522
      2.88282  0.000615514      0.00000      0.00000   0.00124532
      2.89261  0.000527421      0.00000      0.00000   0.00122543
      2.90240  0.000440279      0.00000      0.00000   0.00120554
      2.91219  0.000354056      0.00000      0.00000   0.00118564
      2.92198  0.000269536      0.00000      0.00000   0.00116575
      2.93177  0.000188028      0.00000      0.00000   0.00114640
      2.94156  0.000108535      0.00000      0.00000   0.00112742
      2.95135  6.50632e-05      0.00000      0.00000   0.00110845
      2.96114  2.98034e-05      0.00000      0.00000   0.00108947
      2.97093  1.31187e-05      0.00000      0.00000   0.00107049
      2.98072      0.00000      0.00000      0.00000   0.00105151
      2.99051      0.00000      0.00000      0.00000   0.00103254
      3.00030      0.00000      0.00000      0.00000   0.00101389
      3.01009      0.00000      0.00000      0.00000  0.000995814
      3.01988      0.00000      0.00000      0.00000  0.000977733
      3.02967      0.00000      0.00000      0.00000  0.000959653
      3.03946      0.00000      0.00000      0.00000  0.000941573
      3.04925      0.00000      0.00000      0.00000  0.000923492
      3.05904      0.00000      0.00000      0.00000  0.000905411
      3.06883      0.00000      0.00000      0.00000  0.000887331
      3.07862      0.00000      0.00000      0.00000  0.000869857
      3.08841      0.00000      0.00000      0.00000  0.000852541
      3.09820      0.00000      0.00000      0.00000  0.000835225
      3.10799      0.00000      0.00000      0.00000  0.000817908
      3.11778      0.00000      0.00000      0.00000  0.000800592
      3.12757      0.00000      0.00000      0.00000  0.000783276
      3.13736      0.00000      0.00000      0.00000  0.000766510
      3.14715      0.00000      0.00000      0.00000  0.000749837
      3.15694      0.00000      0.00000      0.00000  0.000733165
      3.16673      0.00000      0.00000      0.00000  0.000716492
      3.17652      0.00000      0.00000      0.00000  0.000699819
      3.18631      0.00000      0.00000      0.00000  0.000683146
      3.19610      0.00000      0.00000      0.00000  0.000666909
      3.20589      0.00000      0.00000      0.00000  0.000650867
      3.21568      0.00000      0.00000      0.00000  0.000634825
      3.22547      0.00000      0.00000      0.00000  0.000618783
      3.23526      0.00000      0.00000      0.00000  0.000602741
      3.24504      0.00000      0.00000      0.00000  0.000586699
      3.25483      0.00000      0.00000      0.00000  0.000570831
      3.26462      0.00000      0.00000      0.00000  0.000555409
      3.27441      0.00000      0.00000      0.00000  0.000539986
      3.28420      0.00000      0.00000      0.00000  0.000524563
      3.29399      0.00000      0.00000      0.00000  0.000509140
      3.30378      0.00000      0.00000      0.00000  0.000493717
      3.31357      0.00000      0.00000      0.00000  0.000478294
      3.32336      0.00000      0.00000      0.00000  0.000463183
      3.33315      0.00000      0.00000      0.00000  0.000448266
      3.34294      0.00000      0.00000      0.00000  0.000433348
      3.35273      0.00000      0.00000      0.00000  0.000418431
      3.36252      0.00000      0.00000      0.00000  0.000403522
      3.37231      0.00000      0.00000      0.00000  0.000389004
      3.38210      0.00000      0.00000      0.00000  0.000374486
      3.39189      0.00000      0.00000      0.00000  0.000359968
      3.40168      0.00000      0.00000      0.00000  0.000345450
      3.41147      0.00000      0.00000      0.00000  0.000331049
      3.42126      0.00000      0.00000      0.00000  0.000316925
      3.43105      0.00000      0.00000      0.00000  0.000302801
      3.44084      0.00000      0.00000      0.00000  0.000288676
      3.45063      0.00000      0.00000      0.00000  0.000274552
      3.46042      0.00000      0.00000      0.00000  0.000260558
      3.47021      0.00000      0.00000      0.00000  0.000246725
      3.48000      0.00000      0.00000      0.00000  0.000232892
      3.48979      0.00000      0.00000      0.00000  0.000219246
      3.49958      0.00000      0.00000      0.00000  0.000205606
      3.50937      0.00000      0.00000      0.00000  0.000192053
      3.51916      0.00000      0.00000      0.00000  0.000178604
      3.52895      0.00000      0.00000      0.00000  0.000165155
      3.53874      0.00000      0.00000      0.00000  0.000151879
      3.54853      0.00000      0.00000      0.00000  0.000138620
      3.55832      0.00000      0.00000      0.00000  0.000125422
      3.56811      0.00000      0.00000      0.00000  0.000112352
      3.57790      0.00000      0.00000      0.00000  9.92822e-05
      3.58769      0.00000      0.00000      0.00000  8.63439e-05
      3.59748      0.00000      0.00000      0.00000  7.34613e-05
      3.60727      0.00000      0.00000      0.00000  6.05863e-05
      3.61706      0.00000      0.00000      0.00000  4.78897e-05
      3.62685      0.00000      0.00000      0.00000  3.51931e-05
      3.63664      0.00000      0.00000      0.00000  2.47098e-05
      3.64643      0.00000      0.00000      0.00000  1.84539e-05
      3.65622      0.00000      0.00000      0.00000  1.21980e-05
      3.66601      0.00000      0.00000      0.00000  9.72521e-06
      3.67580      0.00000      0.00000      0.00000  9.72521e-06
      3.68559      0.00000      0.00000      0.00000  9.72521e-06
      3.69538      0.00000      0.00000      0.00000  9.72521e-06
      3.70516      0.00000      0.00000      0.00000  9.72521e-06
      3.71495      0.00000      0.00000      0.00000  9.72521e-06
      3.72474      0.00000      0.00000      0.00000  9.72521e-06
      3.73453      0.00000      0.00000      0.00000  9.72521e-06
      3.74432      0.00000      0.00000      0.00000  9.72521e-06
      3.75411      0.00000      0.00000      0.00000  9.72521e-06
      3.76390      0.00000      0.00000      0.00000  9.72521e-06
      3.77369      0.00000      0.00000      0.00000  9.72521e-06
      3.78348      0.00000      0.00000      0.00000  9.72521e-06
      3.79327      0.00000      0.00000      0.00000  9.72521e-06
      3.80306      0.00000      0.00000      0.00000  9.72521e-06
      3.81285      0.00000      0.00000      0.00000  9.72521e-06
      3.82264      0.00000      0.00000      0.00000  9.72521e-06
      3.83243      0.00000      0.00000      0.00000  9.72521e-06
      3.84222      0.00000      0.00000      0.00000  9.72521e-06
      3.85201      0.00000      0.00000      0.00000  9.72521e-06
      3.86180      0.00000      0.00000      0.00000  9.72521e-06
      3.87159      0.00000      0.00000      0.00000  9.72521e-06
      3.88138      0.00000      0.00000      0.00000  9.72521e-06
      3.89117      0.00000      0.00000      0.00000  9.72521e-06
      3.90096      0.00000      0.00000      0.00000  9.72521e-06
      3.91075      0.00000      0.00000      0.00000  9.72521e-06
      3.92054      0.00000      0.00000      0.00000  9.72521e-06
      3.93033      0.00000      0.00000      0.00000  9.72521e-06
      3.94012      0.00000      0.00000      0.00000  9.72521e-06
      3.94991      0.00000      0.00000      0.00000  9.72521e-06
      3.95970      0.00000      0.00000      0.00000  9.72521e-06
      3.96949      0.00000      0.00000      0.00000  9.72521e-06
      3.97928      0.00000      0.00000      0.00000  9.72521e-06
      3.98907      0.00000      0.00000      0.00000  9.72521e-06
      3.99886      0.00000      0.00000      0.00000  9.72521e-06
      4.00865      0.00000      0.00000      0.00000  9.72521e-06
      4.01844      0.00000      0.00000      0.00000  9.72521e-06
      4.02823      0.00000      0.00000      0.00000  9.72521e-06
      4.03802      0.00000      0.00000      0.00000  9.72521e-06
      4.04781      0.00000      0.00000      0.00000  9.72521e-06
      4.05760      0.00000      0.00000      0.00000  9.72521e-06
      4.06739      0.00000      0.00000      0.00000  9.72521e-06
      4.07718      0.00000      0.00000      0.00000  9.72521e-06
      4.08697      0.00000      0.00000      0.00000  9.72521e-06
      4.09676      0.00000      0.00000      0.00000  9.72521e-06
      4.10655      0.00000      0.00000      0.00000  9.72521e-06
      4.11634      0.00000      0.00000      0.00000  9.72521e-06
      4.12613      0.00000      0.00000      0.00000  9.72521e-06
      4.13592      0.00000      0.00000      0.00000  9.72521e-06
      4.14571      0.00000      0.00000      0.00000  9.72521e-06
      4.15550      0.00000      0.00000      0.00000  9.72521e-06
      4.16529      0.00000      0.00000      0.00000  9.72521e-06
      4.17507      0.00000      0.00000      0.00000  9.72521e-06
      4.18486      0.00000      0.00000      0.00000  9.72521e-06
      4.19465      0.00000      0.00000      0.00000  9.72521e-06
      4.20444      0.00000      0.00000      0.00000  9.72521e-06
